Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
"6 Bedrooms Villa For Sale Al Khoud, Muscat","OMR112,000",6,6,390 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130169325.html,15
"3 Bedroom Apartment For Sale in Bosher, Muscat","OMR50,000",3,3,122 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130155597.html,15
4 Bedroom Villa For Sale in Qurum Muscat,"OMR115,000",4,4,260 Sq. M.,"Qurum, Muscat",Villa,https://www.bayut.om/en/property/details-130135812.html,16
"2 Bedrooms Apartment For Sale in Salalah, Dhofar","OMR74,000",2,2,61 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130248345.html,16
Land Residential For Sale Al Buraimi,"OMR5,000",N/A,N/A,624 Sq. M.,"Al Buraimi, Al Buraimi",Other,https://www.bayut.om/en/property/details-130313345.html,16
"Residential Land For Sale in Barka, Al Batinah","OMR63,000",N/A,N/A,"1,272 Sq. M.","Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130303563.html,16
"1 Bedroom Apartment For Sale in Salalah, Dhofar","OMR100,000",1,1,85 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130205487.html,16
"6 Bedroom Villa For Sale in Ansab, Muscat","OMR190,000",6,7,527 Sq. M.,"Ansab, Muscat",Villa,https://www.bayut.om/en/property/details-130144339.html,16
"5 Bedroom Villa For Sale in Al Amarat, Muscat","OMR70,000",5,5,534 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130262835.html,16
"2 Bedroom Apartment For Sale in Muscat Hills, Muscat","OMR103,000",2,3,168 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130168165.html,16
"3 Bedroom Villa For Sale in Barka, Al Batinah","OMR50,000",3,3,176 Sq. M.,"Barka, Al Batinah",Villa,https://www.bayut.om/en/property/details-130237408.html,16
"2 Bedrooms Villa For Sale in Sohar, Al Batinah","OMR50,000",2,3,610 Sq. M.,"Sohar, Al Batinah",Villa,https://www.bayut.om/en/property/details-130180242.html,16
"Residential Land For Sale in Al Qabil, Al Sharqiya","OMR55,000",N/A,N/A,"6,050 Sq. M.","Al Qabil, Al Sharqiya",Other,https://www.bayut.om/en/property/details-130162563.html,16
"Land For Sale Al 'Awabi, Al Batinah","OMR14,000",N/A,N/A,500 Sq. M.,"Al 'Awabi, Al Batinah",Other,https://www.bayut.om/en/property/details-130283015.html,16
"1 Bedroom Apartment For Sale in Sultan Haitham City, Muscat","OMR50,070",1,1,67 Sq. M.,"Sultan Haitham City, Muscat",Apartment,https://www.bayut.om/en/property/details-130151507.html,16
"4 Bedrooms Villa For Sale Muscat Hills, Muscat","OMR330,000",4,4,280 Sq. M.,"Muscat Hills, Muscat",Villa,https://www.bayut.om/en/property/details-130307374.html,16
"5 Bedroom Villa For Sale in Al Maabilah, Muscat","OMR178,000",5,5,249 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130222776.html,16
3 Bedrooms Apartment For Sale Muscat (The Wave (Almouj)),"OMR248,000",3,4,245 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130143196.html,16
Residential Land For Sale in Al Sharqiya - Ja'alan Bani Bu Ali,"OMR14,900",N/A,N/A,656 Sq. M.,Al Sharqiya - Ja'alan Bani Bu Ali,Other,https://www.bayut.om/en/property/details-130238861.html,16
"2 Bedroom Apartment For Sale in Yiti, Muscat","OMR144,554",2,2,117 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130227688.html,16
"2 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR26,000",2,2,102 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130184443.html,16
"5 Bedrooms Villa For Sale in Al Amarat, Muscat","OMR65,000",5,6,300 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130138040.html,16
"4 Bedrooms Villa For Sale in Al Mawaleh, Muscat","OMR125,000",4,4,634 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-130174959.html,16
"1 Bedroom Apartment For Sale Bosher, Muscat","OMR35,500",1,2,79 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130156486.html,16
"1 Bedroom Apartment For Sale in Bosher, Muscat","OMR29,000",1,2,67 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130156467.html,16
"Residential Land For Sale in Barka, Al Batinah","OMR5,150",N/A,N/A,609 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130310369.html,16
"Residential Land For Sale in Barka, Al Batinah","OMR20,000",N/A,N/A,479 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130254768.html,17
"Studio Apartment For Sale in Sultan Haitham City, Muscat","OMR41,600",N/A,1,56 Sq. M.,"Sultan Haitham City, Muscat",Apartment,https://www.bayut.om/en/property/details-130226266.html,17
"Residential Land For Sale in Barka, Al Batinah","OMR18,000",N/A,N/A,600 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130248377.html,17
"1 Bedroom Apartment For Sale Ghala, Muscat","OMR35,000",1,2,67 Sq. M.,"Ghala, Muscat",Apartment,https://www.bayut.om/en/property/details-130164884.html,17
"2 Bedrooms Apartment For Sale in Mirbat, Dhofar","OMR27,000",2,2,70 Sq. M.,"Mirbat, Dhofar",Apartment,https://www.bayut.om/en/property/details-130162922.html,17
"Studio Residential Land For Sale Al Maabilah, Muscat","OMR38,500",N/A,N/A,600 Sq. M.,"Al Maabilah, Muscat",Other,https://www.bayut.om/en/property/details-130281988.html,17
"0 Studio For Sale Al Seeb, Muscat","OMR57,000",N/A,N/A,119 Sq. M.,"Al Seeb, Muscat",Other,https://www.bayut.om/en/property/details-130166889.html,17
"2 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","OMR185,000",2,3,128 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130164154.html,17
"2 Bedrooms Apartment For Sale Muscat Hills, Muscat","OMR72,000",2,3,108 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130249616.html,17
"Studio Apartment For Sale Muscat Hills, Muscat","OMR65,000",N/A,1,46 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130215415.html,17
"1 Bedroom Apartment For Sale Yiti, Muscat","OMR95,326",1,2,59 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130190816.html,17
"Residential Land For Sale in Saham, Al Batinah","OMR10,000",N/A,N/A,600 Sq. M.,"Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130255742.html,17
"5 Bedrooms Villa For Sale in Qantab, Muscat","OMR950,000",5,7,750 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130257691.html,17
"2 Bedroom Apartment For Sale in Qantab, Muscat","OMR140,375",2,3,115 Sq. M.,"Qantab, Muscat",Apartment,https://www.bayut.om/en/property/details-130257835.html,17
3 Bedroom Villa For Sale Qantab Muscat,"OMR356,040",3,5,357 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130257900.html,17
2 Bedroom Apartment For Sale Al Sifah Muscat,"OMR140,000",2,2,159 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130164838.html,17
"3 Bedrooms Chalet For Sale Al Sifah, Muscat","OMR205,000",3,3,177 Sq. M.,"Al Sifah, Muscat",Other,https://www.bayut.om/en/property/details-130164510.html,17
"2 Bedrooms Apartment For Sale Sultan Haitham City, Muscat","OMR70,850",2,2,109 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130252687.html,17
"4 Bedroom Apartment For Sale in Sultan Haitham City, Muscat","OMR204,000",4,5,272 Sq. M.,"Sultan Haitham City, Muscat",Apartment,https://www.bayut.om/en/property/details-130252745.html,17
"3 Bedroom Apartment For Sale in Sultan Haitham City, Muscat","OMR163,050",3,4,217 Sq. M.,"Sultan Haitham City, Muscat",Apartment,https://www.bayut.om/en/property/details-130252719.html,17
"3 Bedrooms Villa For Sale Sultan Haitham City, Muscat","OMR154,000",3,3,209 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130248444.html,17
"1 Bedroom Apartment For Sale in Al Khoud, Muscat","OMR29,500",1,2,60 Sq. M.,"Al Khoud, Muscat",Apartment,https://www.bayut.om/en/property/details-130169605.html,17
"Residential Land For Sale in Al Maabilah, Muscat","OMR133,000",N/A,N/A,400 Sq. M.,"Al Maabilah, Muscat",Other,https://www.bayut.om/en/property/details-130284761.html,17
Residential Land For Sale Muscat - Other,"OMR20,000",N/A,N/A,612 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130274857.html,17
"1 Bedroom Apartment For Sale in Bosher, Muscat","OMR29,000",1,2,67 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130186577.html,18
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR110,000",1,1,88 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130212284.html,18
"Residential Land For Sale in Barka, Al Batinah","OMR14,900",N/A,N/A,300 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130243769.html,18
"1 Bedroom Apartment For Sale Sultan Haitham City, Muscat","OMR41,000",1,1,71 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130203096.html,18
"Residential Land For Sale in Al Amarat, Muscat","OMR10,900",N/A,N/A,675 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130252027.html,18
"1 Bedroom Apartment For Sale in Muscat Hills, Muscat","OMR67,000",1,2,96 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130170805.html,18
"2 Bedroom Apartment For Sale in Azaiba, Muscat","OMR39,000",2,2,98 Sq. M.,"Azaiba, Muscat",Apartment,https://www.bayut.om/en/property/details-130156473.html,18
"Residential Land For Sale in Ibra, Al Sharqiya","OMR170,000",N/A,N/A,"75,000 Sq. M.","Ibra, Al Sharqiya",Other,https://www.bayut.om/en/property/details-130201581.html,18
"3 Bedrooms Villa for Sale in Al Hail, Muscat","OMR900,000",3,5,"1,000 Sq. M.","Al Hail, Muscat",Villa,https://www.bayut.om/en/property/details-130188282.html,18
"1 Bedroom Apartment For Sale in Bosher, Muscat","OMR30,000",1,2,57 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130199396.html,18
"Residential Land For Sale in Ibri, Al Dhahirah","OMR11,000",N/A,N/A,"1,820 Sq. M.","Ibri, Al Dhahirah",Other,https://www.bayut.om/en/property/details-130259886.html,18
"2 Bedrooms Apartment For Sale Al Khuwair, Muscat","OMR100,000",2,3,"1,500 Sq. M.","Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-130128875.html,18
"3 Bedroom Apartment For Sale in Bosher, Muscat","OMR68,000",3,4,165 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130143932.html,18
"6 Bedroom Villa For Sale in Al Mawaleh, Muscat","OMR140,000",6,7,600 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-130150983.html,18
"3 Bedrooms Villa For Sale Al Khaboura, Al Batinah","OMR45,500",3,4,235 Sq. M.,"Al Khaboura, Al Batinah",Villa,https://www.bayut.om/en/property/details-130182417.html,18
"Residential Land For Sale in Al Mawaleh, Muscat","OMR180,000",N/A,N/A,900 Sq. M.,"Al Mawaleh, Muscat",Other,https://www.bayut.om/en/property/details-130283757.html,18
"2 Bedroom Apartment For Sale in Azaiba, Muscat","OMR54,000",2,3,101 Sq. M.,"Azaiba, Muscat",Apartment,https://www.bayut.om/en/property/details-130175903.html,18
"2 Bedroom Apartment For Sale in Qantab, Muscat","OMR220,000",2,3,199 Sq. M.,"Qantab, Muscat",Apartment,https://www.bayut.om/en/property/details-130149839.html,18
"2 Bedrooms Apartment For Sale Sur, Al Sharqiya","OMR300,000",2,2,100 Sq. M.,"Muscat - Other, Muscat",Apartment,https://www.bayut.om/en/property/details-130218149.html,18
"3 Bedrooms Villa For Sale Sultan Haitham City, Muscat","OMR111,700",3,3,194 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130149064.html,18
"1 Bedroom Apartment For Sale Sultan Haitham City, Muscat","OMR50,000",1,2,75 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130232906.html,18
"5 Bedroom Villa For Sale in Al Khoud, Muscat","OMR90,000",5,5,293 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130148244.html,18
"3 Bedrooms Apartment For Sale in Qantab, Muscat","OMR298,000",3,5,355 Sq. M.,"Qantab, Muscat",Apartment,https://www.bayut.om/en/property/details-130257668.html,18
"3 Bedroom Villa For Sale in Muscat Hills, Muscat","OMR224,000",3,4,280 Sq. M.,"Muscat Hills, Muscat",Villa,https://www.bayut.om/en/property/details-130147576.html,18
"4 Bedrooms Villa For Sale in Qantab, Muscat","OMR583,890",4,6,422 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130257958.html,19
"Residential Land For Sale in Misfah, Muscat","OMR200,000",N/A,N/A,"1,820 Sq. M.","Misfah, Muscat",Other,https://www.bayut.om/en/property/details-130291832.html,19
"Studio Apartment For Sale in Salalah, Dhofar","OMR45,500",N/A,1,38 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130145328.html,19
"7 Bedroom Villa For Sale in The Wave (Almouj), Muscat","OMR666,000",7,7,524 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130136575.html,19
"Residential Land For Sale in Ibra, Al Sharqiya","OMR50,000",N/A,N/A,"2,500 Sq. M.","Ibra, Al Sharqiya",Other,https://www.bayut.om/en/property/details-130265720.html,19
"2 Bedrooms Apartment For Sale in Bosher, Muscat","OMR60,486",2,3,114 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130109612.html,19
"2 Bedrooms Apartment For Sale in Bosher, Muscat","OMR60,995",2,2,100 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130109616.html,19
"1 Bedroom Apartment For Sale Yiti, Muscat","OMR89,255",1,2,58 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130109606.html,19
"2 Bedrooms Apartment For Sale Barka, Al Batinah","OMR22,000",2,3,107 Sq. M.,"Barka, Al Batinah",Apartment,https://www.bayut.om/en/property/details-130095572.html,19
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR139,000",1,2,118 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130125129.html,19
2 Bedrooms Apartment For Sale in The Wave (Almouj) Muscat,"OMR470,486",2,3,203 Sq. M.,The Wave (Almouj) Muscat,Apartment,https://www.bayut.om/en/property/details-130115606.html,19
"Residential Land For Sale Ruwi, Muscat","OMR70,000",N/A,N/A,531 Sq. M.,"Ruwi, Muscat",Other,https://www.bayut.om/en/property/details-130244070.html,19
"2 Bedrooms Apartment for Sale in Al Hail, Muscat","OMR57,000",2,2,165 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130205094.html,19
"2 Bedrooms Apartment For Sale Salalah, Dhofar","OMR20,000",2,2,83 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130188342.html,19
"Residential Land For Sale in Al Maabilah, Muscat","OMR355,000",N/A,N/A,"1,500 Sq. M.","Al Maabilah, Muscat",Other,https://www.bayut.om/en/property/details-130268888.html,19
"2 Bedrooms Apartment For Sale Al Sifah, Muscat","OMR117,000",2,2,124 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130110379.html,19
"3 Bedroom Apartment For Sale in Al Sifah, Muscat","OMR135,000",3,3,157 Sq. M.,"Al Sifah, Muscat",Apartment,https://www.bayut.om/en/property/details-130110522.html,19
"1 Bedroom Apartment For Sale Sultan Haitham City, Muscat","OMR48,100",1,1,74 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130246420.html,19
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR133,000",1,2,83 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130246217.html,19
"4 Bedrooms Villa For Sale in Dima and Al Taaiyin, Al Sharqiya","OMR60,000",4,5,"1,887 Sq. M.","Dima and Al Taaiyin, Al Sharqiya",Villa,https://www.bayut.om/en/property/details-130135028.html,19
"1 Bedroom Apartment For Sale Sultan Haitham City, Muscat","OMR38,000",1,1,52 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130247685.html,19
"Residential Land For Sale in Ibri, Al Dhahirah","OMR2,300",N/A,N/A,600 Sq. M.,"Ibri, Al Dhahirah",Other,https://www.bayut.om/en/property/details-130298773.html,19
4 Bedrooms Apartment For Sale Muscat (The Wave (Almouj)),"OMR846,945",4,6,383 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130119230.html,19
"1 Bedroom Apartment For Sale Yiti, Muscat","OMR88,289",1,2,66 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130095198.html,19
1 Bedroom Apartment For Sale Salalah,"OMR72,100",1,1,78 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130095185.html,20
"4 Bedroom Villa For Sale in Qantab, Muscat","OMR427,400",4,6,422 Sq. M.,"Qantab, Muscat",Villa,https://www.bayut.om/en/property/details-130257682.html,20
"0 Bedroom Residential Land For Sale in Saham, Al Batinah","OMR11,500",0,N/A,"1,800 Sq. M.","Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130239074.html,20
"4 Bedroom Villa For Sale in Al Masn'a, Al Batinah","OMR27,000",4,4,195 Sq. M.,"Al Masn'a, Al Batinah",Villa,https://www.bayut.om/en/property/details-130175668.html,20
2 Bedrooms Apartment For Sale Muscat (The Wave (Almouj)),"OMR144,000",2,2,125 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130158887.html,20
"1 Bedroom Apartment For Sale The Wave (Almouj), Muscat","OMR318,173",1,2,140 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130115802.html,20
5 Bedrooms Villa For Sale Al Mawaleh Muscat,"OMR149,000",5,6,601 Sq. M.,"Al Mawaleh, Muscat",Villa,https://www.bayut.om/en/property/details-130116659.html,20
"1 Bedroom Villa For Sale Salalah, Dhofar","OMR75,000",1,2,77 Sq. M.,"Salalah, Dhofar",Villa,https://www.bayut.om/en/property/details-130095790.html,20
"1 Bedroom Villa For Sale in Salalah, Dhofar","OMR65,000",1,2,78 Sq. M.,"Salalah, Dhofar",Villa,https://www.bayut.om/en/property/details-130095931.html,20
"1 Bedroom Villa For Sale in Salalah, Dhofar","OMR70,000",1,2,78 Sq. M.,"Salalah, Dhofar",Villa,https://www.bayut.om/en/property/details-130095852.html,20
"1 Bedroom Apartment For Sale Salalah, Dhofar","OMR47,000",1,2,64 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130092012.html,20
"Residential Land For Sale in Ibri, Al Dhahirah","OMR5,000",N/A,N/A,600 Sq. M.,"Ibri, Al Dhahirah",Other,https://www.bayut.om/en/property/details-130162401.html,20
3 Bedrooms Apartment For Sale in Muscat - Other,"OMR599,600",3,4,262 Sq. M.,"Muscat - Other, Muscat",Apartment,https://www.bayut.om/en/property/details-130115533.html,20
"6 Bedroom Villa For Sale Al Amarat, Muscat","OMR80,000",6,7,450 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130104337.html,20
"2 Bedrooms Apartment For Sale Yiti, Muscat","OMR90,018",2,2,93 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130117310.html,20
"1 Bedroom Apartment For Sale in Salalah, Dhofar","OMR50,000",1,2,40 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130190829.html,20
"2 Bedroom Apartment For Sale Al Maabilah, Muscat","OMR55,070",2,2,114 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130188636.html,20
"1 Bedroom Apartment For Sale in Al Maabilah, Muscat","OMR49,020",1,2,72 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130188517.html,20
"1 Bedroom Apartment For Sale in Salalah, Dhofar","OMR77,250",1,1,76 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130089264.html,20
"2 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR144,900",2,2,119 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130089197.html,20
"2 Bedroom Apartment For Sale in Madinat As Sultan Qaboos, Muscat","OMR70,000",2,2,132 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment,https://www.bayut.om/en/property/details-130089382.html,20
"4 Bedroom Villa For Sale in Al Seeb, Muscat","OMR68,000",4,6,260 Sq. M.,"Al Seeb, Muscat",Villa,https://www.bayut.om/en/property/details-130084400.html,20
"1 Bedroom Apartment For Sale Yiti, Muscat","OMR74,000",1,1,83 Sq. M.,"Yiti, Muscat",Apartment,https://www.bayut.om/en/property/details-130214699.html,20
"1 Bedroom Apartment For Sale Sultan Haitham City, Muscat","OMR50,070",1,1,67 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130155511.html,20
"Residential Land For Sale in Bosher, Muscat","OMR75,000",N/A,N/A,600 Sq. M.,"Bosher, Muscat",Other,https://www.bayut.om/en/property/details-130274845.html,21
"2 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR37,000",2,3,140 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130209601.html,21
"4 Bedrooms Villa For Sale Al Maabilah, Muscat","OMR214,500",4,6,411 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130142397.html,21
"Residential Land For Sale Al Amarat, Muscat","OMR5,300",N/A,N/A,645 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130232277.html,21
9 Bedrooms Villa For Sale Al Khoud Muscat,"OMR125,000",9,7,400 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130102674.html,21
2 Bedrooms Apartment For Sale in The Wave (Almouj) Muscat,"OMR450,000",2,3,185 Sq. M.,The Wave (Almouj) Muscat,Apartment,https://www.bayut.om/en/property/details-130098769.html,21
"Residential Land For Sale Shinas, Al Batinah","OMR2,150",N/A,N/A,630 Sq. M.,"Shinas, Al Batinah",Other,https://www.bayut.om/en/property/details-130239141.html,21
"2 Bedroom Apartment For Sale Al Maabilah, Muscat","OMR25,500",2,3,100 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130089555.html,21
"1 Bedroom Apartment For Sale Bosher, Muscat","OMR31,750",1,2,67 Sq. M.,"Bosher, Muscat",Apartment,https://www.bayut.om/en/property/details-130253319.html,21
"3 Bedrooms Villa For Sale Al Maabilah, Muscat","OMR49,000",3,3,176 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130278068.html,21
"6 Bedrooms Villa For Sale in Saham, Al Batinah","OMR25,000",6,5,250 Sq. M.,"Saham, Al Batinah",Villa,https://www.bayut.om/en/property/details-130246083.html,21
"Studio Residential Land For Sale Al Amarat, Muscat","OMR22,500",N/A,N/A,450 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130151715.html,21
"2 Bedroom Apartment For Sale in Al Mawaleh, Muscat","OMR38,500",2,3,101 Sq. M.,"Al Mawaleh, Muscat",Apartment,https://www.bayut.om/en/property/details-130168402.html,21
1 Bedroom Apartment For Sale Muscat (The Wave),"OMR88,000",1,2,88 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130069666.html,21
"Studio Apartment For Sale Al Seeb, Muscat","OMR41,414",N/A,1,52 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130223372.html,21
"2 Bedroom Apartment For Sale in Al Seeb, Muscat","OMR69,815",2,3,98 Sq. M.,"Al Seeb, Muscat",Apartment,https://www.bayut.om/en/property/details-130223312.html,21
6 Bedroom Villa For Sale in Muscat - Other,"OMR1,406,000",6,8,907 Sq. M.,"Muscat - Other, Muscat",Villa,https://www.bayut.om/en/property/details-130119290.html,21
"2 Bedrooms Apartment For Sale Muscat Hills, Muscat","OMR85,000",2,3,106 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130094387.html,21
"Residential Land For Sale in Saham, Al Batinah","OMR5,000",N/A,N/A,662 Sq. M.,"Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130218298.html,21
"Residential Land For Sale in Salalah, Dhofar","OMR27,000",N/A,N/A,646 Sq. M.,"Salalah, Dhofar",Other,https://www.bayut.om/en/property/details-130245283.html,21
"Residential Land For Sale in Al Rustaq, Al Batinah","OMR12,000",N/A,N/A,600 Sq. M.,"Al Rustaq, Al Batinah",Other,https://www.bayut.om/en/property/details-130251451.html,21
"5 Bedrooms Villa For Sale Al Khoud, Muscat","OMR140,000",5,5,330 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130093817.html,21
"3 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR40,000",3,3,120 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130080483.html,21
3 Bedrooms Apartment For Sale Al Maabilah Muscat,"OMR28,000",3,3,123 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130074112.html,21
4 Bedrooms Apartment For Sale Muscat,"OMR495,000",4,5,325 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-130095239.html,22
"2 Bedrooms Apartment For Sale in Al Maabilah, Muscat","OMR31,500",2,4,126 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130095077.html,22
5 Bedroom Villa For Sale in The Wave (Almouj) Muscat,"OMR490,000",5,7,519 Sq. M.,The Wave (Almouj) Muscat,Villa,https://www.bayut.om/en/property/details-130120807.html,22
"Residential Land For Sale Al Masn'a, Al Batinah","OMR7,500",N/A,N/A,529 Sq. M.,"Al Masn'a, Al Batinah",Other,https://www.bayut.om/en/property/details-130234247.html,22
"2 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR19,000",2,3,100 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130112246.html,22
"Studio Apartment For Sale Salalah, Dhofar","OMR55,000",N/A,1,33 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130184501.html,22
"Residential Land For Sale in Al Amarat, Muscat","OMR7,000",N/A,N/A,600 Sq. M.,"Al Amarat, Muscat",Other,https://www.bayut.om/en/property/details-130246871.html,22
"Studio Residential Land For Sale in Barka, Al Batinah","OMR13,000",N/A,N/A,600 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130208541.html,22
"Residential Land For Sale - Muscat, Al Seeb","OMR35,000",N/A,N/A,600 Sq. M.,"Al Seeb, Muscat",Other,https://www.bayut.om/en/property/details-130199903.html,22
2 Bedrooms Chalet For Sale Al Sifah Muscat,"OMR181,000",2,2,144 Sq. M.,"Al Sifah, Muscat",Other,https://www.bayut.om/en/property/details-130110433.html,22
